bedrijfsnaam,website,branche,aantal_medewerkers,locatie,voornaam,achternaam,functie,email,telefoon,linkedin_url,status,campaign_id,email_sent_at,opened,clicked,replied,reply_text,reply_at,pain_points,personalisatie_note,instantly_lead_id,last_contacted,follow_up_count
Mangi Amore,https://mangiamoreutrecht.nl/,Horeca,,"Jan van Galenstraat 97, 3572 LD Utrecht, Nederland",,,,,+31 30 751 4128,,new,,,,,,,,{},,,,0
Panino di Pino,http://www.paninodipino.nl/,Horeca,,"Middenburcht 5, 3452 MS Utrecht, Nederland",,,,,+31 6 23633070,,new,,,,,,,,{},,,,0
J&N Veggie&Kebab,https://www.google.com/maps/search/?api=1&query=J%26N%20Veggie%26Kebab&query_place_id=ChIJ92McGYBlxkcRBSloTJrG6-0,Horeca,,"Van Heuven Goedhartlaan 77-H, 3527 CG Utrecht, Nederland",,,,,+31 30 785 6189,,new,,,,,,,,{},,,,0
McDonald's Utrecht Leidsche Rijn,https://mcdonaldsrestaurant.nl/utrecht-leidsche-rijn,Horeca,,"Hertogswetering 169, 3543 AS Utrecht, Nederland",,,,,+31 30 241 5638,,new,,,,,,,,{},,,,0
New York Pizza,https://www.newyorkpizza.nl/?store=193&utm_medium=organic&utm_source=GMBlisting,Horeca,,"Haroekoeplein 144, 3531 WN Utrecht, Nederland",,,,,+31 30 307 9016,,new,,,,,,,,{},,,,0
Restaurant Salaam,https://www.google.com/maps/search/?api=1&query=Restaurant%20Salaam&query_place_id=ChIJp7mTb2VvxkcRTWqkTHjaD54,Horeca,,"Kanaalstraat 124, 3531 CP Utrecht, Nederland",,,,,+31 30 296 7604,,new,,,,,,,,{},,,,0
Eethuis Mehtap,https://www.pizzeria-mehtap.nl/,Horeca,,"Damstraat 54, 3531 BW Utrecht, Nederland",,,,,+31 30 291 0192,,new,,,,,,,,{},,,,0
Cibari,https://www.cibari-utrecht.nl/,Horeca,,"Amsterdamsestraatweg 257, 3551 CE Utrecht, Nederland",,,,,+31 30 888 0072,,new,,,,,,,,{},,,,0
Wok To Go Leidsche Rijn,http://www.woktogo.nl/,Horeca,,"Parijsboulevard 184, 3541 CX Utrecht, Nederland",,,,,+31 30 202 2377,,new,,,,,,,,{},,,,0
Cafetaria Didim Utrecht,https://www.google.com/maps/search/?api=1&query=Cafetaria%20Didim%20Utrecht&query_place_id=ChIJeZFlHXBvxkcRpX0E3PNTz3g,Horeca,,"Jan Pieterszoon Coenstraat 86, 3531 EZ Utrecht, Nederland",,,,,+31 30 785 0841,,new,,,,,,,,{},,,,0
La sosta,http://www.lasosta-utrecht.nl/,Horeca,,"Van Starkenborghhof 9, 3527 HB Utrecht, Nederland",,,,,+31 30 299 3888,,new,,,,,,,,{},,,,0
Mee Wah,https://www.meewahlombok.nl/,Horeca,,"Bataviastraat 1, 3531 VJ Utrecht, Nederland",,,,,0302933485,,new,,,,,,,,{},,,,0
Pizzeria Lalouchi's,https://www.lalouchis.nl/,Horeca,,"Ondiep 1, 3552 EA Utrecht, Nederland",,,,,+31 30 223 0494,,new,,,,,,,,{},,,,0
Creta grieks Utrecht 🇬🇷,https://creta-utrecht.nl/,Horeca,,"Amsterdamsestraatweg 138, 3513 AM Utrecht, Nederland",,,,,0302027422,,new,,,,,,,,{},,,,0
Kwalitaria Groeneweg - Utrecht,https://www.kwalitaria.nl/?utm_source=google&utm_medium=organic&utm_campaign=organic_gmb,Horeca,,"Haroekoeplein 142, 3531 WN Utrecht, Nederland",,,,,+31 30 259 1866,,new,,,,,,,,{},,,,0
Baba,http://www.babagrillroom.nl/,Horeca,,"Amsterdamsestraatweg 206, 3551 CN Utrecht, Nederland",,,,,+31 30 737 0714,,new,,,,,,,,{},,,,0
Restaurant Pleyn (Jaarbeurs),https://www.google.com/maps/search/?api=1&query=Restaurant%20Pleyn%20(Jaarbeurs)&query_place_id=ChIJQQfai4lvxkcRhVy0Z5NHCok,Horeca,,"Jaarbeursplein 4, 3521 CA Utrecht, Nederland",,,,,+31 30 295 5665,,new,,,,,,,,{},,,,0
Hampton by Hilton Utrecht Central Station,https://www.hilton.com/en/hotels/amsunhx-hampton-utrecht-central-station/?SEO_id=GMB-EMEA-HX-AMSUNHX,Horeca,,"Boven Catharijnepoort 4, 3511 WN Utrecht, Nederland",,,,,+31 30 237 7033,,new,,,,,,,,{},,,,0
Italia Leidscherijn,http://www.italia-utrecht.nl/,Horeca,,"Verlengde Houtrakgracht 305, 3544 EB Utrecht, Nederland",,,,,0302316238,,new,,,,,,,,{},,,,0
Moxy Utrecht,https://www.marriott.com/en-us/hotels/amsou-moxy-utrecht/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Horeca,,"Helling 1, 3523 CB Utrecht, Nederland",,,,,+31 30 808 0303,,new,,,,,,,,{},,,,0
Shabu to Go,https://www.shabutogo.nl/sushi-bestellen-utrecht-leidsche-rijn?utm_source=google&utm_medium=mijn-bedrijf&utm_campaign=leidscherijn,Horeca,,"Brusselplein 93, 3541 CH Leidsche Rijn, Nederland",,,,,0302073230,,new,,,,,,,,{},,,,0
DE DRIEHOEK HORECA TERWIJDE,http://www.dedriehoekhoreca.nl/,Horeca,,"Ella Fitzgeraldplein 5, 3543 EN Utrecht, Nederland",,,,,+31 30 743 0829,,new,,,,,,,,{},,,,0
Damnlicious,https://www.damnliciousutrecht.nl/,Horeca,,"Leidsekade 26, 3531 BN Utrecht, Nederland",,,,,+31 30 555 6751,,new,,,,,,,,{},,,,0
Akko 🇸🇷,https://www.google.com/maps/search/?api=1&query=Akko%20%F0%9F%87%B8%F0%9F%87%B7&query_place_id=ChIJhVDb3mtvxkcRr0a-LUoERk0,Horeca,,"Amsterdamsestraatweg 110, 3513 AK Utrecht, Nederland",,,,,+31 30 232 2430,,new,,,,,,,,{},,,,0
Chicken Corner030,http://www.chickencorner030.nl/,Horeca,,"Kanaalstraat 50, 3531 BV Utrecht, Nederland",,,,,+31 30 785 6034,,new,,,,,,,,{},,,,0
Bursa Kebap Restaurant,https://nlcompanies.org/details/bursa-kebap-restaurant-ChIJ0zN,Horeca,,"Hammarskjoldhof 16A, 3527 HE Utrecht, Nederland",,,,,+31 30 751 9401,,new,,,,,,,,{},,,,0
Daily Restaurant,http://www.daily-restaurant.nl/,Horeca,,"Van Bijnkershoeklaan 407, 3527 XK Utrecht, Nederland",,,,,030 880 44 44,,new,,,,,,,,{},,,,0
Petit Restaurant Jackie,https://www.jackie-utrecht.nl/,Horeca,,"Jan Cornelisz. Maylaan 4, 3526 GV Utrecht, Nederland",,,,,+31 30 280 5500,,new,,,,,,,,{},,,,0
Fusion2Go,http://www.fusion2goutrecht.nl/,Horeca,,"Ella Fitzgeraldplein 181, 3543 EN Utrecht, Nederland",,,,,+31 30 274 1668,,new,,,,,,,,{},,,,0
Il Mondo,http://www.pizzeriailmondo.nl/,Horeca,,"wij bezorgen ook, Laan van Nieuw Guinea 46, 3531 JL Utrecht, Nederland",,,,,+31 30 296 7652,,new,,,,,,,,{},,,,0
Dar Al Maghreb,https://www.google.com/maps/search/?api=1&query=Dar%20Al%20Maghreb&query_place_id=ChIJ9WrqqWhvxkcR6gKvF3EAdbY,Horeca,,"Damstraat 17, 3531 BP Utrecht, Nederland",,,,,+31 30 210 2992,,new,,,,,,,,{},,,,0
Sis & Sis Lunch To Go,https://www.sisandsis.nl/,Horeca,,"Vasco Da Gamalaan 11, 3526 ER Utrecht, Nederland",,,,,+31 6 27991560,,new,,,,,,,,{},,,,0
Camelia Restaurant,http://cameliarestaurant.nl/,Horeca,,"Kanaalstraat 108, 3531 CN Utrecht, Nederland",,,,,+31 6 34505039,,new,,,,,,,,{},,,,0
Holiday Inn Express Utrecht - Papendorp by IHG,https://www.ihg.com/holidayinnexpress/hotels/gb/en/utrecht/amsut/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-NL-_-AMSUT,Horeca,,"Van Deventerlaan 10, 3528 AE Utrecht, Nederland",,,,,+31 20 797 9197,,new,,,,,,,,{},,,,0
Rue d'Amsterdam 🇲🇦,https://nlcompanies.org/details/rue-damsterdam-ChIJO5y,Horeca,,"Amsterdamsestraatweg 162, 3551 CM Utrecht, Nederland",,,,,+31 6 82730000,,new,,,,,,,,{},,,,0
SOEK THAI,https://www.google.com/maps/search/?api=1&query=SOEK%20THAI&query_place_id=ChIJC5dAgAVvxkcR0Y4cvrhiSlg,Horeca,,"Wolff en Dekenplein 8, 3532 XH Utrecht, Nederland",,,,,+31 6 28350183,,new,,,,,,,,{},,,,0
Nostro Bar,https://www.nostrobar.nl/,Horeca,,"Vondellaan 15a, 3521 GB Utrecht, Nederland",,,,,+31 6 18166758,,new,,,,,,,,{},,,,0
nishesplace,http://www.nishesplace-utrecht.nl/,Horeca,,"Amsterdamsestraatweg 308, 3551 CT Utrecht, Nederland",,,,,+31 30 307 4466,,new,,,,,,,,{},,,,0
Studio Sugar Snap,http://www.studiosugarsnap.nl/,Horeca,,"Vleutenseweg 76, 3532 HL Utrecht, Nederland",,,,,+31685271191,,new,,,,,,,,{},,,,0
Restaurant Buurten in de Bieb,https://kombuurten.nl/,Horeca,,"Brusselplein 2, 3541 CJ Utrecht, Nederland",,,,,+31 30 727 1616,,new,,,,,,,,{},,,,0
Venster,http://www.vensterutrecht.nl/,Horeca,,"Berlijnplein 520, 3541 CN Utrecht, Nederland",,,,,0302006187,,new,,,,,,,,{},,,,0
Arabella,https://www.arabella.nl/,Horeca,,"Moskeeplein 86, 3531 BX Utrecht, Nederland",,,,,+31 30 296 3070,,new,,,,,,,,{},,,,0
Barista Café Leidsche Rijn Centrum,https://www.baristacafe.nl/,Horeca,,"Brusselplein 133, 3541 CH Utrecht, Nederland",,,,,+31 30 662 6461,,new,,,,,,,,{},,,,0
Café Kanaalzicht,http://www.cafekanaalzicht.nl/,Horeca,,"Keulsekade 23, 3531 JX Utrecht, Nederland",,,,,+31 30 293 0066,,new,,,,,,,,{},,,,0
New York Pizza,https://www.newyorkpizza.nl/?store=223&utm_medium=organic&utm_source=GMBlisting,Horeca,,"Mereveldplein 32, 3454 CK Utrecht, Nederland",,,,,+31 30 307 8444,,new,,,,,,,,{},,,,0
ATLAS Food Corner,http://www.atlasfoodcorner.nl/,Horeca,,"Louis Armstronglaan 412, 3543 EB Utrecht, Nederland",,,,,+31 30 633 0312,,new,,,,,,,,{},,,,0
Lunchroom Mirage,https://www.google.com/maps/search/?api=1&query=Lunchroom%20Mirage&query_place_id=ChIJvdZy-NNvxkcRLtVc9mtw0LM,Horeca,,"Amsterdamsestraatweg 378, 3551 CW Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Primos Lunchroom,https://primoslunchroom.nl/,Horeca,,"Herderplein 23, 3533 CC Utrecht, Nederland",,,,,+31 30 785 6987,,new,,,,,,,,{},,,,0
Bidoe Lunchroom,http://www.bidoe.nl/,Horeca,,"Damstraat 25, 3531 BR Utrecht, Nederland",,,,,+31 30 274 6217,,new,,,,,,,,{},,,,0
Helal burgers & shoarma kanaalstraat,http://www.helal.nu/,Horeca,,"Kanaalstraat 56, 3531 CK Utrecht, Nederland",,,,,+31 30 296 3767,,new,,,,,,,,{},,,,0
Restaurant en Vergadercentrum De Hoge Weide - Reinaerde,http://www.dehogeweide.net/,Horeca,,"AB Harrewijnstraat 45, 3544 AL Utrecht, Nederland",,,,,+31 30 670 2100,,new,,,,,,,,{},,,,0
Asya Restaurant 🇹🇷,https://grill-restaurant-asya-utrecht.nl/,Horeca,,"Amsterdamsestraatweg 234, 3551 CP Utrecht, Nederland",,,,,+31 30 707 0390,,new,,,,,,,,{},,,,0
Catering Malaki,http://www.cateringmalaki.nl/,Horeca,,"Maarssenbroeksedijk 41, 3542 DM Utrecht, Nederland",,,,,+31 6 54972827,,new,,,,,,,,{},,,,0
Piccalilly Catering,http://www.piccalillycatering.nl/,Horeca,,"Orteliuslaan 855, 3528 BE Utrecht, Nederland",,,,,+31 30 890 5590,https://www.linkedin.com/company/piccalillycatering,new,,,,,,,,{},,,,0
Darna Petit Restaurant,https://sites.google.com/view/darna-restaurant,Horeca,,"Vleutenseweg 50, 3531 BW Utrecht, Nederland",,,,,+31 30 785 5925,,new,,,,,,,,{},,,,0
De Bierkantine - BBQ Restaurant & Biercafe,http://www.debierkantine.com/,Horeca,,"Ravellaan 96, 3533 JR Utrecht, Nederland",,,,,+31 6 53860403,,new,,,,,,,,{},,,,0
Albron B.V.,http://www.albron.nl/,Horeca,,"Rijnzathe 11, 3454 PV Utrecht, Nederland",,,,,+31620957045,https://www.linkedin.com/company/albron,new,,,,,,,,{},,,,0
Viadella,https://www.pizzeriaviadella.nl/,Horeca,,"Stationsstraat 24, 3451 BX Utrecht, Nederland",,,,,+31 30 677 3344,,new,,,,,,,,{},,,,0
Brasserie Domplein,https://nlcompanies.org/details/brasserie-domplein-ChIJ02C,Horeca,,"Servetstraat 10, 3512 JG Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Maximesushi,https://www.google.com/maps/search/?api=1&query=Maximesushi&query_place_id=ChIJHbcSaydvxkcReZOUymYZWos,Horeca,,"Proostwetering, 3543 AB Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Bistro Belle,https://www.bistrobelle.nl/,Horeca,,"Dorpsstraat 12, 3611 AE Oud Zuilen, Nederland",,,,,0302441790,,new,,,,,,,,{},,,,0
Achtienhonderdeenenvijftig (1851) B.V.,https://www.google.com/maps/search/?api=1&query=Achtienhonderdeenenvijftig%20(1851)%20B.V.&query_place_id=ChIJq9OYc6pvxkcR4LhwbjEs0Ro,Horeca,,"1e Polderweg 4, 3563 MC Utrecht, Nederland",,,,,+31 30 266 0555,,new,,,,,,,,{},,,,0
Bakkerij Amin / Amin cuisine | Utrecht,https://www.google.com/maps/search/?api=1&query=Bakkerij%20Amin%20%2F%20Amin%20cuisine%20%7C%20Utrecht&query_place_id=ChIJS1GCRTZvxkcRWv38rJdeits,Horeca,,"Wallesteinlaan 23, 3554 HM Utrecht, Nederland",,,,,+31 6 47016111,,new,,,,,,,,{},,,,0
RUFF Golf - Utrecht,https://ruffgolf.eu/nl/,Horeca,,"Proostwetering 5a, 3543 AB Utrecht, Nederland",,,,,+31 85 004 5799,https://www.linkedin.com/company/ruff-nederland,new,,,,,,,,{},,,,0
Doppio Espresso Utrecht The Wall,https://www.doppio-espresso.nl/The-Wall/utrecht.html,Horeca,,"Hertogswetering 183a, 3543 AS Utrecht, Nederland",,,,,,https://www.linkedin.com/company/10334705,new,,,,,,,,{},,,,0
Restaurant Zuiver Utrecht,https://www.restaurantzuiver.nl/,Horeca,,"Krommewetering 51, 3543 AM Utrecht, Nederland",,,,,0850876078,,new,,,,,,,,{},,,,0
Zorba De Griek Fastfood,http://www.zorbadegriekvleuten.nl/,Horeca,,"Stationsstraat 2, 3451 BX Utrecht, Nederland",,,,,0306776562,,new,,,,,,,,{},,,,0
OLI MAZÍ,http://olimazi.nl/,Horeca,,"Amsterdamsestraatweg 701E, 3555 HE Utrecht, Nederland",,,,,+3130243198,,new,,,,,,,,{},,,,0
Cafetaria 't Pleintje De Meern,http://www.hetpleintjedemeern.nl/,Horeca,,"Mereveldplein 29, 3454 CM Utrecht, Nederland",,,,,0306663383,,new,,,,,,,,{},,,,0
Sphinx Vleuten,http://www.sphinx-vleuten.nl/,Horeca,,"Hindersteinlaan 2E, 3451 EZ Utrecht, Nederland",,,,,+31 30 677 6925,,new,,,,,,,,{},,,,0
Kwalitaria Veldhof - De Meern Utrecht,http://kwalitaria.nl/?utm_source=google&utm_medium=organic&utm_campaign=organic_gmb,Horeca,,"Molenpolder 90, 3453 NZ Utrecht, Nederland",,,,,+31 30 666 7427,,new,,,,,,,,{},,,,0
Brandstof Lunchroom,https://www.google.com/maps/search/?api=1&query=Brandstof%20Lunchroom&query_place_id=ChIJj4xqksxvxkcRhxCLzVPuC1E,Horeca,,,,,,,+31 6 85235019,,new,,,,,,,,{},,,,0
Mr. Jack's,http://www.mrjacks.nl/,Horeca,,"Voorstraat 59, 3512 AK Utrecht, Nederland",,,,,+31 30 232 8533,,new,,,,,,,,{},,,,0
Bar Beton Utrecht Centraal,http://www.bar-beton.nl/,Horeca,,"Stationshal 2 - 9 1e verdieping Centrumzijde, 3511 CE Utrecht, Nederland",,,,,085 888 22 11,,new,,,,,,,,{},,,,0
"CHAO Catering, Cafetaria Chao",http://www.lunchpakket-broodjes.nl/,Horeca,,"Oude Pijlsweerdstraat 72, 3513 GL Utrecht, Nederland",,,,,+31 30 234 2849,,new,,,,,,,,{},,,,0
Bakker Bart Utrecht Bakkerstraat,https://www.bakkerbart.nl/vestigingen/bestellen-bij-bakker-bart-utrecht-bakkerstraat?&utm_source=GMB&utm_medium=Organic&utm_campaign=109,Horeca,,"Bakkerstraat 18, 3511 JW Utrecht, Nederland",,,,,+31 30 231 3800,,new,,,,,,,,{},,,,0
Chez Lex,https://www.google.com/maps/search/?api=1&query=Chez%20Lex&query_place_id=ChIJG6cHwT1vxkcRkuOl42ktcQU,Horeca,,"Merelstraat 23, 3514 CM Utrecht, Nederland",,,,,+31 6 29495977,,new,,,,,,,,{},,,,0
Lunchroom & Banketbakkerij Tiss...,https://www.google.com/maps/search/?api=1&query=Lunchroom%20%26%20Banketbakkerij%20Tiss...&query_place_id=ChIJQal-p1dvxkcRu3nrmibs9vo,Horeca,,"Twijnstraat 34, 3511 ZL Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
New York Pizza,https://www.newyorkpizza.nl/?store=99&utm_medium=organic&utm_source=GMBlisting,Horeca,,"Nobelstraat 6, 3512 EN Utrecht, Nederland",,,,,+31 30 240 0204,,new,,,,,,,,{},,,,0
New York Pizza,https://www.newyorkpizza.nl/?store=98&utm_medium=organic&utm_source=GMBlisting,Horeca,,"Bernadottelaan 8, 3527 GB Utrecht, Nederland",,,,,+31 30 284 6090,,new,,,,,,,,{},,,,0
Tropisch Huis Prem,https://www.google.com/maps/search/?api=1&query=Tropisch%20Huis%20Prem&query_place_id=ChIJFagokWlvxkcRKS9I8mSu9hQ,Horeca,,"Amsterdamsestraatweg 40, 3513 AG Utrecht, Nederland",,,,,+31 30 231 4396,,new,,,,,,,,{},,,,0
Chiqueolatte Utrecht,https://www.chiqueolatte.nl/,Horeca,,"St Jacobsstraat 101, 3511 BP Utrecht, Nederland",,,,,+31 6 29748242,,new,,,,,,,,{},,,,0
Domino's Pizza Leidsche Rijn,https://www.dominos.nl/?utm_source=google&utm_medium=local&utm_campaign=yext,Horeca,,"Grauwaartsingel 260, 3541 DA Utrecht, Nederland",,,,,+31 30 666 7737,,new,,,,,,,,{},,,,0
Tai Soen,http://www.taisoen.nl/,Horeca,,"Godebaldkwartier 275, 3511 EP Utrecht, Nederland",,,,,+31 30 231 8905,,new,,,,,,,,{},,,,0
Broodje Mario 🥪,https://www.google.com/maps/search/?api=1&query=Broodje%20Mario%20%F0%9F%A5%AA&query_place_id=ChIJCUaDgkRvxkcRDjIPfcKw6mQ,Horeca,,"Oudegracht 130-132, 3511 AX Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Julia's,https://www.julias.nl/vestigingen/utrecht-cs/,Horeca,,"Stationshal 4, 3511 CE Utrecht, Nederland",,,,,,,new,,,,,,,,{},,,,0
Snackbar De Reiger,https://www.snackbardereigerutrecht.nl/,Horeca,,"Burgemeester Reigerstraat 56, 3581 KV Utrecht, Nederland",,,,,+31 30 251 2929,,new,,,,,,,,{},,,,0
Dayi Pizza & Shoarma,http://www.dayi-utrecht.nl/,Horeca,,"Amsterdamsestraatweg 115, 3513 AD Utrecht, Nederland",,,,,+31 30 232 1988,,new,,,,,,,,{},,,,0
Broodje Carlo,http://www.broodjecarlo.nl/,Horeca,,"Janskerkhof, 3512 BN Utrecht, Nederland",,,,,+31 6 24815834,,new,,,,,,,,{},,,,0
Hoog Catharijne,https://hoog-catharijne.klepierre.nl/,Horeca,,"Godebaldkwartier 54, 3511 DX Utrecht, Nederland",,,,,+31 30 234 6464,,new,,,,,,,,{},,,,0
Crowne Plaza Utrecht - Central Station by IHG,https://www.ihg.com/crowneplaza/hotels/gb/en/utrecht/utcur/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-NL-_-UTCUR,Horeca,,"Catharijne Esplanade 13, 3511 WK Utrecht, Nederland",,,,,+31 30 237 7100,,new,,,,,,,,{},,,,0
Manneken Pis Steenweg,https://mannekenpis.nl/,Horeca,,"Steenweg 2, 3511 JP Utrecht, Nederland",,,,,0302080638,,new,,,,,,,,{},,,,0
Damas Restaurant Utrecht,https://www.damas-utrecht.nl/,Horeca,,"Oudenoord 613, 3513 EP Utrecht, Nederland",,,,,+31 6 39426540,,new,,,,,,,,{},,,,0
Het Goudhaantje Kanaleneiland,https://www.google.com/maps/search/?api=1&query=Het%20Goudhaantje%20Kanaleneiland&query_place_id=ChIJbyFqAfVlxkcRVy20e7slueM,Horeca,,"Van Starkenborghhof 11, 3527 HB Utrecht, Nederland",,,,,+31 6 84607607,,new,,,,,,,,{},,,,0
Mr Dam Banh Mi Utrecht,https://www.mrdambanhmibestellen.nl/,Horeca,,"Steenweg 48, 3511 JS Utrecht, Nederland",,,,,+31 30 202 7380,,new,,,,,,,,{},,,,0
Loetje Utrecht,https://www.loetje.nl/locaties/utrecht/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=utrecht,Horeca,,"Oudkerkhof 29, 3512 GJ Utrecht, Nederland",,,,,+31302315040,https://nl.linkedin.com/company/loetje,new,,,,,,,,{},,,,0
Bella Italia,http://www.bellaitalia-pizza.nl/,Horeca,,"Lauwerecht 30, 3515 EM Utrecht, Nederland",,,,,+3130 276 37 35,,new,,,,,,,,{},,,,0
Kimmade Vietnamese Street Food,http://www.kimmade.nl/street-food,Horeca,,"Mariastraat 2, 3511 LP Utrecht, Nederland",,,,,+31630098413,,new,,,,,,,,{},,,,0
Cafetaria Christina,https://www.cafetaria-christina.nl/,Horeca,,"W.A. Vultostraat 114, 3523 TZ Utrecht, Nederland",,,,,+31 30 289 8143,,new,,,,,,,,{},,,,0
Cafetaria Edison,https://www.facebook.com/CafetariaEdison/,Horeca,,"Edisonstraat 11, 3553 BK Utrecht, Nederland",,,,,+31 30 243 1470,,new,,,,,,,,{},,,,0
Le Bibelot,http://www.lebibelot.nl/,Horeca,,"Oudegracht 181, 3511 NE Utrecht, Nederland",,,,,0031302313353,,new,,,,,,,,{},,,,0
Hofman Utrecht,https://hofman-utrecht.nl/,Horeca,,"Janskerkhof 17A, 3512 BM Utrecht, Nederland",,,,,0302302470,,new,,,,,,,,{},,,,0
Burgerbar Utrecht,http://burgerbar.nl/,Horeca,,"Schoutenstraat 15, 3512 GA Utrecht, Nederland",,,,,+31 30 877 7344,,new,,,,,,,,{},,,,0
