name,address,phone,website,email
"De Silveren Spiegel","Kattengat 4, 1012 SZ Amsterdam","020 624 6589","https://www.desilverenspiegel.com/","info@desilverenspiegel.com"
"Namche Amsterdam","Schollenbrugstraat 8, 1091 EX Amsterdam","06 29827120","http://www.troefamsterdam.nl/","info@troefamsterdam.nl"
"cornerstore","Papaverweg 11, 1032 KD Amsterdam","020 239 0062","http://www.csnoord.com/","info@csnoord.com"
"Little Bonfire","Keizersgracht 449, 1017 DK Amsterdam","020 370 0100","https://www.littlebonfire.amsterdam/","hello@littlebonfire.amsterdam"
"Restaurant De Utrechtsedwarstafel","Utrechtsedwarsstraat 107-109, 1017 WD Amsterdam","020 625 4189","https://www.utrechtsedwarstafel.com/","gebruiker@domein.com"
"Café-Restaurant De Plantage","Plantage Kerklaan 36, 1018 CZ Amsterdam","020 760 6800","http://www.caferestaurantdeplantage.nl/","gebruiker@domein.com"
"Restaurant Olijfje","Valkenburgerstraat 223D, 1011 MJ Amsterdam","020 330 4444","https://www.restaurantolijfje.nl/en","INFO@RESTAURANTOLIJFJE.NL?Subject=Contact"
"Teppanyaki Restaurant Sazanka","Ferdinand Bolstraat 333, 1072 LH Amsterdam","020 678 8300","https://www.okura.nl/sazanka",""
"BAUT Oost","Wibautstraat 125, 1091 GL Amsterdam","085 065 9619","https://bautoost.nl/","info@bautoost.nl"
"Pianeta Terra","Beulingstraat 7, 1017 BA Amsterdam","020 626 1912","https://pianetaterra-restaurant.nl/","info@pianetaterra.nl"
"Graham's Kitchen","Hemonystraat 38, 1074 BS Amsterdam","020 364 2560","http://grahamskitchen.amsterdam/","Dine@grahamskitchen.amsterdam"
"Pllek","T.T. Neveritaweg 59, 1033 WB Amsterdam","020 290 0020","http://www.pllek.nl/","info@pllek.nl"
"Restaurant Van Beeren","Koningsstraat 54, 1011 EW Amsterdam","020 622 2329","http://www.eetcafevanbeeren.nl/","pz.vanbeeren@gmail.com"
"Café Caron","Frans Halsstraat 28, 1072 BS Amsterdam","020 675 8668","https://cafecaron.nl/","info@cafecaron.nl"
"Cedars","Frans Halsstraat 28, 1072 BS Amsterdam","020 675 8668","https://cafecaron.nl/","info@cafecaron.nl"
"de Willem","Haarlemmerplein 58, 1013 HS Amsterdam","020 341 3508","https://de-willem.nl/","oscar@rocklobster.nl"
"The Seafood Bar","Van Baerlestraat 5h, 1071 AL Amsterdam","020 670 8355","https://www.theseafoodbar.com/","info@theseafoodbar.com"
"Restaurant Tehran","Rozengracht 192h, 1016 NK Amsterdam","06 22776180","https://restaurantehran.nl/",""
"Brasserie Ambassade","Herengracht 339, 1016 AJ Amsterdam","020 555 0255","https://brasserieambassade.nl/","info@brasserieambassade.nl"
"VanOost Restaurant","Mauritskade 61, 1092 AD Amsterdam","020 802 0202","https://www.vanoostrestaurant.com/?utm_source=GMB&utm_medium=organic","user@domain.com"
"Restaurant Flore","Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam","020 730 3398","https://restaurantflore.com/?utm_source=GMB&utm_medium=organic","Reservations@restaurantflore.com"
"Eetcafé Wijmpje Beukers","Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam","020 730 3398","https://restaurantflore.com/?utm_source=GMB&utm_medium=organic","Reservations@restaurantflore.com"
"Restaurant 212","Amstel 212, 1017 AH Amsterdam","020 334 8685","https://www.212.amsterdam/","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
"Black and Blue","Leliegracht 46, 1015 DH Amsterdam","020 625 0807","https://www.restaurantblackandblue.nl/","regulierdwars@restaurantblackandblue.nl"
"Vuurtoreneiland","1026 CG Durgerdam","020 362 1664","http://vuurtoreneiland.nl/",""
"Santi & Santini - Puglia restaurant","Hazenstraat 64, 1016 SR Amsterdam","06 47505844","http://www.santiesantini.com/","info@santiesantini.com"
"Manzil Indian Restaurant","Rijnstraat 81, 1079 GX Amsterdam","020 362 0867","http://www.manzilrestaurant.nl/","info@manzilrestaurant.nl"
"Cedars","Rijnstraat 81, 1079 GX Amsterdam","020 362 0867","http://www.manzilrestaurant.nl/","info@manzilrestaurant.nl"
"Restaurant Amstelle","Joan Muyskenweg 20, 1096 CJ Amsterdam","020 800 1100","http://restaurantamstelle.nl/","reserveringen@amsterdam.valk.com"
"middl.eat مطعم عربي ، شيشه واركيله كافيه","Reguliersdwarsstraat 21, 1017 BJ Amsterdam","06 84233442","http://www.middleat.nl/","info@middleat.nl"
"Ashoka Amsterdam","Spuistraat 3G, 1012 SP Amsterdam","020 221 0446","http://www.ashokarestaurant.nl/",""
"Dignita Hoftuin","Nieuwe Herengracht 18a, 1018 DP Amsterdam","020 370 2723","http://eatwelldogood.nl/","info@eatwelldogood.nl"
"Men Impossible","Nieuwe Herengracht 18a, 1018 DP Amsterdam","020 370 2723","http://eatwelldogood.nl/","info@eatwelldogood.nl"
"Restaurant The White Room","Dam 9, 1012 HH Amsterdam","020 554 9454","https://www.restaurantthewhiteroom.com/",""
"Steakhouse Piet de Leeuw Amsterdam","Noorderstraat 11, 1017 TR Amsterdam","06 83493873","https://www.pietdeleeuw.nl/locaties/amsterdam/","amsterdam@pietdeleeuw.nl"
"Restaurant Daalder*","Postjesweg 1, 1057 DT Amsterdam","020 799 5000","http://www.daalderamsterdam.nl/","reserveren@daalderamsterdam.nl"
"Bhatti Pasal Klinkers - Authentic Nepalese Food","Kerkstraat 332, 1017 JA Amsterdam","020 421 0505","http://www.bhattipasal.nl/klinkers","user@domain.com"
"Restaurant De Belhamel","Brouwersgracht 60, 1013 GX Amsterdam","020 622 1095","https://www.belhamel.nl/",""
"Tomodachi Teppanyaki","Utrechtsestraat 87H, 1017 VK Amsterdam","020 785 7055","http://www.restaurant-tomodachi.nl/","info@restaurant-tomodachi.nl"
"WE ARE EDN","Oosterdoksstraat 4, Ground Floor, 1011 DK Amsterdam","020 530 0861","https://www.weareedn.com/",""
"Williams Farmhouse","Beethovenstraat 55, 1077 HN Amsterdam","020 205 1335","http://www.williamsfarmhouse.com/","user@domain.com"
"Hasta La Vista, Baby - Restaurant & Rooftop Bar","Eduard van Beinumstraat 40, 1077 CZ Amsterdam","020 261 1522","https://hastalavista.baby/","events@hastalavista.baby"
"Restaurant De Kas","Kamerlingh Onneslaan 3, 1097 DE Amsterdam","020 462 4562","http://www.restaurantdekas.nl/","user@domain.com"
"Suriwood","Damstraat 38, 1012 JM Amsterdam","","https://suriwood.nl/",""
"SECRET GARDEN","Reguliersdwarsstraat 38, 1017 BM Amsterdam","020 247 4060","http://www.secretgardenamsterdam.com/",""
"Gartine","Taksteeg 7, 1012 PB Amsterdam","020 320 4132","http://gartine.nl/",""
"Little Bonfire","Keizersgracht 449, 1017 DK Amsterdam","020 370 0100","https://www.littlebonfire.amsterdam/","hello@littlebonfire.amsterdam"
"The Pantry","Leidsekruisstraat 21, 1017 RE Amsterdam","020 620 0922","https://www.thepantry.nl/?redirect=yes",""
"Senses restaurant","Vijzelstraat 45, 1017 HE Amsterdam","020 530 6266","http://www.sensesrestaurant.nl/","welcome@sensesrestaurant.nl"
"Wagyu Kanata","Buitenveldertselaan 158A, 1081 AB Amsterdam","020 737 2817","https://www.wagyukanata.com/buitenveldert","info@wagyukanata.com"
"Restaurant Watergang","Weteringstraat 41, 1017 SM Amsterdam","06 38678170","https://www.restaurantwatergang.nl/","info@restaurantwatergang.nl"
"De Silveren Spiegel","Kattengat 4, 1012 SZ Amsterdam","020 624 6589","https://www.desilverenspiegel.com/","info@desilverenspiegel.com"
"Restaurant Flore","Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam","020 730 3398","https://restaurantflore.com/?utm_source=GMB&utm_medium=organic","Reservations@restaurantflore.com"
"Restaurant Bougainville","Dam 27, 1012 JS Amsterdam","020 218 2182","https://www.restaurantbougainville.com/nl/",""
"Little Buddha Asian restaurant - Best Asian Restaurant Amsterdam","Halvemaansteeg 18, 1017 CR Amsterdam","06 12738585","",""
"CARTER","Valeriusstraat 85, 1071 MG Amsterdam","020 752 6855","https://www.barcarter.nl/",""
"Osteria Bella Ciao Italiaans Restaurant","Laan der Hesperiden 66, 1076 DN Amsterdam","020 794 9565","https://bellaciaoams.nl/","info@bellaciaoams.nl"
"Vuurtoreneiland","1026 CG Durgerdam","020 362 1664","http://vuurtoreneiland.nl/",""
"Prins & Aap","1026 CG Durgerdam","020 362 1664","http://vuurtoreneiland.nl/",""
"Restaurant Zaza's","Daniël Stalpertstraat 103, 1072 XD Amsterdam","020 673 6333","http://www.zazas.nl/","info@zazas.nl"
"Restaurant Le Hollandais","Amsteldijk 41, 1074 HV Amsterdam","020 679 1248","http://www.lehollandais.nl/","info@lehollandais.nl"
"Buurtcafé De Tros","Linnaeusstraat 63H, 1093 Amsterdam","020 227 9803","http://detrosamsterdam.nl/","info@detrosamsterdam.nl"
"Restaurant Nomads","Oranje-Vrijstaatkade 55, 1093 KS Amsterdam","020 779 0469","https://www.nomads-amsterdam.nl/","info@nomads-amsterdam.nl"
"Chef Adrienne | Private Dining Amsterdam","Valeriusstraat 250 H, 1075 GL Amsterdam","06 41310010","https://www.chefadrienne.nl/","info@chefadrienne.nl"
"Restaurant Amstelle","Joan Muyskenweg 20, 1096 CJ Amsterdam","020 800 1100","http://restaurantamstelle.nl/","reserveringen@amsterdam.valk.com"
"Santi & Santini - Puglia restaurant","Hazenstraat 64, 1016 SR Amsterdam","06 47505844","http://www.santiesantini.com/","info@santiesantini.com"
"Bhatti Pasal Klinkers - Authentic Nepalese Food","Kerkstraat 332, 1017 JA Amsterdam","020 421 0505","http://www.bhattipasal.nl/klinkers","user@domain.com"
"Badcuyp","Eerste Sweelinckstraat 10, 1073 CM Amsterdam","06 42902310","https://badcuypamsterdam.nl/",""
"Café De Klepel","Prinsenstraat 22, 1015 DD Amsterdam","020 623 8244","http://cafedeklepel.nl/","info@cafedeklepel.nl"
"WE ARE EDN","Oosterdoksstraat 4, Ground Floor, 1011 DK Amsterdam","020 530 0861","https://www.weareedn.com/",""
"Restaurant Europa","Gedempt Hamerkanaal 81, 1021 KP Amsterdam","020 211 1221","http://www.europa.rest/","info@europa.rest"
"Restaurant Olijfje","Valkenburgerstraat 223D, 1011 MJ Amsterdam","020 330 4444","https://www.restaurantolijfje.nl/en","INFO@RESTAURANTOLIJFJE.NL?Subject=Contact"
"Ali Ocakbaşı","Herengracht 558, 1017 CG Amsterdam","06 27522070","http://www.aliocakbasi.nl/",""
"middl.eat مطعم عربي ، شيشه واركيله كافيه","Herengracht 558, 1017 CG Amsterdam","06 27522070","http://www.aliocakbasi.nl/",""
"Namche Amsterdam","Herengracht 558, 1017 CG Amsterdam","06 27522070","http://www.aliocakbasi.nl/",""
"Restaurant De Belhamel","Brouwersgracht 60, 1013 GX Amsterdam","020 622 1095","https://www.belhamel.nl/",""
"Restaurant Lavash","Korte Leidsedwarsstraat 119, 1017 RG Amsterdam","020 771 4344","https://restaurantlavash.nl/","?subject=Home&body=https%3A%2F%2Frestaurantlavash.nl"
"Sham West","Witte de Withstraat 125-H, 1057 XR Amsterdam","020 221 5202","https://restaurantsham.nl/sham-west/","info@restaurantsham.nl"
"Black and Blue","Leliegracht 46, 1015 DH Amsterdam","020 625 0807","https://www.restaurantblackandblue.nl/","regulierdwars@restaurantblackandblue.nl"
"Tannay","Zandhoek 14, 1013 KT Amsterdam","020 772 6743","http://www.tannay.nl/","info@tannay.nl"
"BAUT Oost","Wibautstraat 125, 1091 GL Amsterdam","085 065 9619","https://bautoost.nl/","info@bautoost.nl"
"Restaurant Bellezza","Oudezijds Achterburgwal 99, 1012 DD Amsterdam","020 205 2642","https://restaurantbellezza.nl/","info@restaurantbellezza.nl"
"Lumbini","Amstel 32H, 1017 AB Amsterdam","020 341 9040","https://lumbinirestaurant.nl/","info@lumbinirestaurant.nl"
"Café-Restaurant De Plantage","Plantage Kerklaan 36, 1018 CZ Amsterdam","020 760 6800","http://www.caferestaurantdeplantage.nl/","gebruiker@domein.com"
"Hard Rock Cafe","Max Euweplein 57-61, 1017 MA Amsterdam","020 888 1358","https://cafe.hardrock.com/amsterdam/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings","amsterdam.events@hardrock.com"
"Verona Ristorante Italiano","Reguliersdwarsstraat 7, 1017 BJ Amsterdam","020 341 3710","http://www.veronaristorante.nl/","veronaristorante@outlook.com"
"Golden Temple Vegetarisch Restaurant","Reguliersdwarsstraat 7, 1017 BJ Amsterdam","020 341 3710","http://www.veronaristorante.nl/","veronaristorante@outlook.com"
"The Living Kitchen: Rooftop Restaurant and Bar by Zoku Amsterdam","Weesperstraat 105, 6th Floor, 1018 VM Amsterdam","020 811 2811","http://www.livezoku.com/amsterdam/eat-drink",""
"VanOost Restaurant","Mauritskade 61, 1092 AD Amsterdam","020 802 0202","https://www.vanoostrestaurant.com/?utm_source=GMB&utm_medium=organic","user@domain.com"
"Eetcafé Wijmpje Beukers","Karel du Jardinstraat 47, 1073 TB Amsterdam","020 331 1138","http://www.wijmpjebeukers.nl/","gebruiker@domein.com"
"Amigo Grill Restaurant","Prinsengracht 188, H, 1016 HC Amsterdam","020 845 1081","https://amigogrill.nl/en/",""
"Ku Kitchen & Bar","Utrechtsestraat 114, 1017 VT Amsterdam","020 422 9424","https://www.kukitchen.nl/","user@domain.com"
"Petit Lou","Weesperstraat 101a, 1018 VN Amsterdam","020 775 0325","https://www.petitlouamsterdam.nl/",""
"Pannenkoekenhuis Upstairs","Grimburgwal 2, 1012 GA Amsterdam","020 626 5603","http://www.upstairspannenkoeken.nl/",""
"Mondi Amsterdam New-West Caribbean Cuisine","Grimburgwal 2, 1012 GA Amsterdam","020 626 5603","http://www.upstairspannenkoeken.nl/",""
"d'Vijff Vlieghen","Spuistraat 294-302, 1012 VX Amsterdam","020 530 4060","http://vijffvlieghen.nl/","vijff-vlieghen@umhgroup.nl"
"Bloem Eten & Drinken","Entrepotdok 36, 1018 AD Amsterdam","020 330 0929","http://www.bloem36.nl/","bloem36@gmail.com"
"Pompstation","Zeeburgerdijk 52, 1094 AE Amsterdam","020 692 2888","http://www.pompstation.nu/","gebruiker@domein.com"
"Golden Temple Vegetarisch Restaurant","Utrechtsestraat 126, 1017 VT Amsterdam","020 626 8560","http://www.restaurantgoldentemple.com/","?body={URL}"
"Hard Rock Cafe","Utrechtsestraat 126, 1017 VT Amsterdam","020 626 8560","http://www.restaurantgoldentemple.com/","?body={URL}"
"Restaurant De Utrechtsedwarstafel","Utrechtsedwarsstraat 107-109, 1017 WD Amsterdam","020 625 4189","https://www.utrechtsedwarstafel.com/","gebruiker@domein.com"
"TOZI Restaurant & Bar, Vondelpark","Koninginneweg 34, 1075 AA Amsterdam","020 573 7100","https://www.toziamsterdam.com/","Private-Hire-image@2x-600x944.jpg"
"Restaurant Van Beeren","Koningsstraat 54, 1011 EW Amsterdam","020 622 2329","http://www.eetcafevanbeeren.nl/","pz.vanbeeren@gmail.com"
"La Casa di Angelo Amsterdam","Reguliersdwarsstraat 82, 1017 BN Amsterdam","06 14685858","https://lacasadi-angelo.nl/","info@lacasadi-angelo.nl"
"De Royal Chop House - Beste Steakhouse & BBQ Grill Restaurant in Amsterdam","Amstelveenseweg 128, 1075 XL Amsterdam","020 786 8528","https://deroyalchophouse.nl/","info@deroyalchophouse.nl"
"Portugalia Tasca","Bakkersstraat 12, 1017 CW Amsterdam","06 43705806","https://portugaliatasca.nl/","rotterdam@portugaliatasca.nl"
"Ashoka Amsterdam","Spuistraat 3G, 1012 SP Amsterdam","020 221 0446","http://www.ashokarestaurant.nl/",""
"Kilimanjaro Restaurant","Rapenburgerplein 6, 1011 VB Amsterdam","020 622 3485","",""
"Café Brasserie Meuwese","Rokin 119 121, 1012 KP Amsterdam","020 624 1243","http://www.brasseriemeuwese.nl/","brasseriemeuwese@yahoo.com"
"Le Petit Chef - Amsterdam","Hotel Amsterdam De Roode Leeuw, Damrak 93-94, 1012 LP Amsterdam","","https://lepetitchef.com/Amsterdam","lepetitchef@hotelamsterdam.nl"
"Restaurant V12","Veldbiesstraat 10, 1032 LJ Amsterdam","020 705 2535","https://www.restaurantv12.nl/",""
"Troef","Schollenbrugstraat 8, 1091 EX Amsterdam","06 29827120","http://www.troefamsterdam.nl/","info@troefamsterdam.nl"
"Namche Amsterdam","Lange Leidsedwarsstraat 91, 1017 NH Amsterdam","020 779 0314","http://namche.nl/",""
"Little Buddha Asian restaurant - Best Asian Restaurant Amsterdam","Lange Leidsedwarsstraat 91, 1017 NH Amsterdam","020 779 0314","http://namche.nl/",""
"REM","Haparandadam 45-2, 1013 AK Amsterdam","020 244 5794","http://rem.amsterdam/","reserveren@rem.amsterdam"
"middl.eat مطعم عربي ، شيشه واركيله كافيه","Reguliersdwarsstraat 21, 1017 BJ Amsterdam","06 84233442","http://www.middleat.nl/","info@middleat.nl"
"Café-Restaurant Amsterdam","Watertorenplein 6, 1051 PA Amsterdam","020 682 2666","https://cradam.nl/","info@cradam.nl"
"Bistro Baret","Korte Amstelstraat 18, 1018 XS Amsterdam","020 622 5602","http://www.bistrobaret.nl/","info@bistrobaret.nl"
"Restaurant Levant","Weteringschans 93, 1017 RZ Amsterdam","020 622 5184","http://www.restaurantlevant.nl/","info@restaurantlevant.nl"
"Café Binnenvisser","Bilderdijkstraat 36, 1052 NB Amsterdam","020 221 0503","http://www.binnenvisser.nl/",""
"Restaurant Vermeer","Buitenveldertselaan 158A, 1081 AB Amsterdam","020 737 2817","https://www.wagyukanata.com/buitenveldert","info@wagyukanata.com"
"De Silveren Spiegel","Buitenveldertselaan 158A, 1081 AB Amsterdam","020 737 2817","https://www.wagyukanata.com/buitenveldert","info@wagyukanata.com"
"Restaurant Black Olive","Markenplein 30 A, 1011 MV Amsterdam","06 28079666","http://www.restaurantblackolive.nl/","info@restaurantblackolive.nl"
"Choux","De Ruijterkade 128, 1011 AC Amsterdam","020 210 3090","http://choux.nl/","info@choux.nl"
"Grizzly - American Restaurant","Warmoesstraat 64-H, 1012 JH Amsterdam","020 221 4432","",""
"Vegan Temple Bar","Lange Leidsedwarsstraat 17, 1017 NE Amsterdam","020 776 8021","http://vegantemplebar.nl/","contact@vegantemplebar.nl"
"Restaurant Tehran","Rozengracht 192h, 1016 NK Amsterdam","06 22776180","https://restaurantehran.nl/",""
"The Seafood Bar","Van Baerlestraat 5h, 1071 AL Amsterdam","020 670 8355","https://www.theseafoodbar.com/","info@theseafoodbar.com"
"Restaurant Barracuda Amsterdam","Aambeeldstraat 10, 1021 KB Amsterdam","06 45212782","https://www.barracuda.amsterdam/","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
"Oche","Utrechtsestraat 11, 1017 VH Amsterdam","020 800 3505","https://oche.com/nl/amsterdam/","booking.amsterdam@nl.oche.com"
"Cannibale Royale Lange Niezel","Utrechtsestraat 11, 1017 VH Amsterdam","020 800 3505","https://oche.com/nl/amsterdam/","booking.amsterdam@nl.oche.com"
"Brasserie Ambassade","Herengracht 339, 1016 AJ Amsterdam","020 555 0255","https://brasserieambassade.nl/","info@brasserieambassade.nl"
"Café Parlotte","Westerstraat 182, 1015 MR Amsterdam","06 25305030","http://www.parlotte.nl/","gebruiker@domein.com"
"Petit Caron","Frans Halsstraat 26H, 1072 BR Amsterdam","020 723 2699","https://restaurantscaron.nl/restaurant/petit-caron/","bonjour@petitcaron.nl"
"Restaurant 212","Amstel 212, 1017 AH Amsterdam","020 334 8685","https://www.212.amsterdam/","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com"
"café wu","Dapperstraat 1, 1093 RT Amsterdam","020 224 6196","https://www.cafewu.nl/","info@cafewu.nl"
"Mondi Amsterdam New-West Caribbean Cuisine","Prinsenstraat 22, 1015 DD Amsterdam","020 623 8244","http://cafedeklepel.nl/","info@cafedeklepel.nl"
"Rijsel","Marcusstraat 52, 1091 TK Amsterdam","020 463 2142","http://www.rijsel.com/","Gorgeous-recipes-show-avocado-slices-arranged-in-swirls4-1@2x-2.png"
"SKY Restaurant Pi Amsterdam","Schepenbergweg 50, 1105 AT Amsterdam","020 311 3670","https://www.skyrestaurantpi.nl/nl/?utm_campaign=skyrestaurantpi_business-listening-maps&utm_medium=organic&utm_source=google-mijn-bedrijf","info@fletcherhotelamsterdam.nl"
"De Witte Zwaan","Sint Antoniesbreestraat 46, 1011 HB Amsterdam","","",""
"Soulkitchen Amsterdam","Amstelstraat 30, 1017 DA Amsterdam","020 705 1320","https://soulkitchenamsterdam.nl/","reservations@soulkitchenamsterdam.nl"
"Restaurant Asmara","Jonas Daniël Meijerplein 8, 1011 RH Amsterdam","06 33815311","",""
"Gartine","Brouwersgracht 60, 1013 GX Amsterdam","020 622 1095","https://www.belhamel.nl/",""
"middl.eat مطعم عربي ، شيشه واركيله كافيه","Brouwersgracht 60, 1013 GX Amsterdam","020 622 1095","https://www.belhamel.nl/",""
"Steakhouse Piet de Leeuw Amsterdam","Noorderstraat 11, 1017 TR Amsterdam","06 83493873","https://www.pietdeleeuw.nl/locaties/amsterdam/","amsterdam@pietdeleeuw.nl"
"Tomodachi Teppanyaki","Utrechtsestraat 87H, 1017 VK Amsterdam","020 785 7055","http://www.restaurant-tomodachi.nl/","info@restaurant-tomodachi.nl"
"Pianeta Terra","Beulingstraat 7, 1017 BA Amsterdam","020 626 1912","https://pianetaterra-restaurant.nl/","info@pianetaterra.nl"
"cornerstore","Papaverweg 11, 1032 KD Amsterdam","020 239 0062","http://www.csnoord.com/","info@csnoord.com"
"Day's StoneGrill 1870 | Foodbar","Spuistraat 4, 1012 TS Amsterdam","020 358 6673","http://stonegrill1870.nl/",""
"Gebr. Hartering","Peperstraat 10, 1011 TX Amsterdam","020 421 0699","https://www.gebr-hartering.nl/","info@gebr-hartering.nl"
"d'Vijff Vlieghen","Peperstraat 10, 1011 TX Amsterdam","020 421 0699","https://www.gebr-hartering.nl/","info@gebr-hartering.nl"
"Pllek","T.T. Neveritaweg 59, 1033 WB Amsterdam","020 290 0020","http://www.pllek.nl/","info@pllek.nl"
"Restaurant Black and Blue - Reguliersdwarsstraat","Reguliersdwarsstraat 32, 1017 BM Amsterdam","020 218 4554","https://www.restaurantblackandblue.nl/","regulierdwars@restaurantblackandblue.nl"
"Renvy","Weesperstraat 105, 6th Floor, 1018 VM Amsterdam","020 811 2811","http://www.livezoku.com/amsterdam/eat-drink","meetamsterdam@livezoku.com?subject=Group%20dining%20request%20at%20The%20Living%20Kitchen"
"The Butcher - Nine Streets","Paleisstraat 14, 1012 RB Amsterdam","020 811 3388","http://the-butcher.com/",""
"Ken Sushi","Paleisstraat 14, 1012 RB Amsterdam","020 811 3388","http://the-butcher.com/",""
"Sefa Restaurant BBQ & Grill-Room","Westermarkt 25, 1016 DJ Amsterdam","020 773 9212","http://www.sefarestaurant.nl/","hi@sefarestaurant.nl"
"Kitchen & Bar Van Rijn B.V.","Rembrandtplein 17, 1017 CT Amsterdam","020 450 0555","http://www.vanrijnamsterdam.nl/",""
"MR PORTER","Spuistraat 175, 1012 RR Amsterdam","020 811 3399","https://www.mrportersteakhouse.com/",""
"Bar Lempicka","Sarphatistraat 23, 1018 EV Amsterdam","020 622 0209","http://www.barlempicka.com/","info@barlempicka.com"
