bedrijfsnaam,website,branche,aantal_medewerkers,locatie,voornaam,achternaam,functie,email,telefoon,linkedin_url,status,campaign_id,email_sent_at,opened,clicked,replied,reply_text,reply_at,pain_points,personalisatie_note,instantly_lead_id,last_contacted,follow_up_count
Van der Valk Hotel Utrecht,http://www.vandervalkhotelutrecht.nl/?utm_source=google&utm_medium=organic&utm_campaign=gmb-utr,Horeca,,"Winthontlaan 4, 1e, 2e en 20e etage, 3526 KV Utrecht, Nederland",,,,support@valkdigital.nl,030 8000 800,https://www.linkedin.com/company/van-der-valk-hotel-utrecht,new,,,,,,,,{},,,,0
Court Hotel City Centre Utrecht,http://www.courthotel.nl/,Horeca,,"Korte Nieuwstraat 14, 3512 NM Utrecht, Nederland",,,,Welcome@Courthotel.nl,0031302330033,,new,,,,,,,,{},,,,0
Black Brew,http://blackxbrew.com/,Horeca,,"Willemstraat 55, 3511 RH Utrecht, Nederland",,,,info@blackxbrew.com,+31 30 785 7548,,new,,,,,,,,{},,,,0
Verhage Vleuterweide,https://verhage.nl/,Horeca,,"Middenburcht 162, 3452 MT Utrecht, Nederland",,,,support@verhagemail.nl,+31786106899,https://www.linkedin.com/company/verhage,new,,,,,,,,{},,,,0
Skipiste Nieuwegein,http://www.skipistenieuwegein.nl/,Horeca,,"Nedereindseweg 501a, 3546 PM Utrecht, Nederland",,,,info@skipistenieuwegein.nl,0306884464,,new,,,,,,,,{},,,,0
Cigkoftem,https://www.cigkoftem030.nl/,Horeca,,"Amsterdamsestraatweg 324, 3551 CV Utrecht, Nederland",,,,serdar6161trz@hotmail.com,030 751 4613,,new,,,,,,,,{},,,,0
Zinnia Restaurant,http://www.restaurantzinnia.nl/,Horeca,,"Koeriersterlaan 101, 3526 ZC Utrecht, Nederland",,,,Contact@restaurantzinnia.nl,+31302888800,,new,,,,,,,,{},,,,0
Prins Caspian (Caspian Catering),https://prinscaspian.nl/,Horeca,,"Trumanlaan 70, 3527 BR Utrecht, Nederland",,,,contact@prinscaspian.nl,+31684270048,,new,,,,,,,,{},,,,0
The Seafood Bar,https://www.theseafoodbar.com/,Horeca,,"Stationsplein 22, 3511 ED Utrecht, Nederland",,,,info@theseafoodbar.com,+31202337452,,new,,,,,,,,{},,,,0
Cafetaria & Pizzeria Straatweg,http://pizzeriastraatweg.nl/,Horeca,,"Amsterdamsestraatweg 118, 3513 AL Utrecht, Nederland",,,,bier2go2@gmail.com,030 6338759,,new,,,,,,,,{},,,,0
Satriale's Pizzabar,http://www.satriales.nl/,Horeca,,"Plantage 1B, 3551 DE Utrecht, Nederland",,,,info@satriales.nl,0307371137,,new,,,,,,,,{},,,,0
Sushi Station Utrecht Leidsche Rijn,https://utrecht.sushistation.nl/,Horeca,,"Verlengde Houtrakgracht 415, 3544 ED Utrecht, Nederland",,,,sushistation.utrecht@gmail.com,030 6624439,,new,,,,,,,,{},,,,0
GoThai Streetfood/ Go Mexican/ Masala Mama(Indian Veg) Utrecht,https://www.gothai.nl/,Horeca,,"Landzigt 16, unit 6, 3454 PE De Meern, Nederland",,,,support@gothai.nl,+31 30 207 4256,,new,,,,,,,,{},,,,0
Kebap Factory,https://www.kebapfactory.nl/,Horeca,,"Moskeeplein 88, 3531 BX Utrecht, Nederland",,,,info@kebapfactory.nl,0307113848,,new,,,,,,,,{},,,,0
Miyabi Asian Cuisine Utrecht,https://miyabi.nl/,Horeca,,"Brusselplein 7, 3541 CH Utrecht, Nederland",,,,info@miyabi.nl,+31303079012,,new,,,,,,,,{},,,,0
Indiase Keuken takeaway,https://www.thebiryani.nl/%20www.asianfoodutrecht.nl,Horeca,,"Herderplein 13, 3533 CC Utrecht, Nederland",,,,indiasekeuken1@gmail.com,+31 30 785 9836,,new,,,,,,,,{},,,,0
Eethuis Aarti,https://eethuis-aarti.nl/,Horeca,,"Kanaalstraat 75, 3531 CB Utrecht, Nederland",,,,info@eethuis-aarti.nl,+31302938325,,new,,,,,,,,{},,,,0
De Pizzabakkers Leidsche Rijn,https://www.depizzabakkers.nl/vestigingen/utrecht-leidsche-rijn/,Horeca,,"Brusselplein 3, 3541 CH Utrecht, Nederland",,,,leidscherijn@depizzabakkers.nl,+31307370018,https://www.linkedin.com/company/de-pizzabakkers,new,,,,,,,,{},,,,0
Eethoek Donau,http://www.eethoekdonau.nl/,Horeca,,"Burgemeester Verderlaan 13, 3544 AD Utrecht, Nederland",,,,murat_61_59@hotmail.com,+31627479759,,new,,,,,,,,{},,,,0
Restaurant Speys (Jaarbeurs),http://speysjaarbeurs.nl/,Horeca,,"Veemarktplein 50, 3521 AG Utrecht, Nederland",,,,restaurantspeys@jaarbeurs.nl,+31 (30) 295 5881,https://www.linkedin.com/company/32890,new,,,,,,,,{},,,,0
Kwalitaria Leidsche Rijn - Utrecht,https://www.kwalitaria.nl/vestiging/kwalitaria-leidsche-rijn,Horeca,,"Grauwaartsingel 446, 3541 DA Utrecht, Nederland",,,,leidscherijn@kwalitaria.nl,+31 30 303 9710,,new,,,,,,,,{},,,,0
Hing Kee,https://hing-kee.nl/,Horeca,,"Amsterdamsestraatweg 191, 3551 CA Utrecht, Nederland",,,,hingkee191@gmail.com,0302434464,,new,,,,,,,,{},,,,0
Jasmine Palace Restaurant,http://www.jasmine-palace.com/,Horeca,,"Zandweg 102, 3454 JZ Utrecht, Nederland",,,,info@jasmine-palace.com,030 66 635 39,,new,,,,,,,,{},,,,0
Petit-Restaurant Lunchroom Deluxe,http://www.restaurantdeluxe.nl/,Horeca,,"Damstraat 22, 3531 BV Utrecht, Nederland",,,,Info@restaurantdeluxe.nl,+31 30 298 0025,,new,,,,,,,,{},,,,0
TRINH - Vietnamese streetfood,http://www.trinhstreetfood.nl/,Horeca,,"Zandweg 103, 3454 JZ Utrecht, Nederland",,,,info@trinhstreetfood.nl,0307370651,,new,,,,,,,,{},,,,0
Bab Alyemen Restaurant,https://babal-yemen.nl/,Horeca,,"Amsterdamsestraatweg 144G, 3513 AM Utrecht, Nederland",,,,babalyemen23@gmail.com,0648098687,,new,,,,,,,,{},,,,0
Restaurant Meneer Wong,http://www.meneerwong.nl/,Horeca,,"Burchtpromenade 2, 3452 MH Utrecht, Nederland",,,,info@meneerwong.nl,0306585982,,new,,,,,,,,{},,,,0
Jasmijn & ik,http://jasmijnenik.nl/,Horeca,,"Kanaalstraat 219-221, 3531 CH Utrecht, Nederland",,,,info@jasmijnenik.nl,+31 30 293 8907,,new,,,,,,,,{},,,,0
Levantine,https://www.levantine.nl/,Horeca,,"Moskeeplein 87, 3531 BX Utrecht, Nederland",,,,info@levantine.nl,+31 30 430 0777,,new,,,,,,,,{},,,,0
La Place,https://www.laplace.com/,Horeca,,"Meerndijk 59, 3454 HP Utrecht, Nederland",,,,laplacemeetings@vermaatgroep.nl,+31643246467,,new,,,,,,,,{},,,,0
Indo food house,http://www.indofoodhouse.nl/,Horeca,,"Grauwaartsingel 300, 3541 DA Utrecht, Nederland",,,,info@indofoodhouse.nl,0031302681915,,new,,,,,,,,{},,,,0
ANNA Pancakes Berlijnplein | Dinner & Brunch |,http://www.annapancakes.nl/,Horeca,,"Berlijnplein 450, 3541 CN Utrecht, Nederland",,,,berlijnplein450@gmail.com,+31 6 12726778,https://www.linkedin.com/company/anna-pancakesbv,new,,,,,,,,{},,,,0
Soia - Strand Oog In Al,https://soia.nl/,Horeca,,"Kanaalweg 199, 3533 HL Utrecht, Nederland",,,,info@soia.nl,0302751011,,new,,,,,,,,{},,,,0
Anafora Parkrestaurant & Events,http://www.anafora.nl/,Horeca,,"Uilenboslaan 1, 3451 GB Utrecht, Nederland",,,,remy@makepublic.studio,030 677 10 05,https://www.linkedin.com/company/anafora-parkrestaurant,new,,,,,,,,{},,,,0
Quang Minh Vietnamees Restaurant,https://quangminh.nl/,Horeca,,"Amsterdamsestraatweg 305, 3551 CH Utrecht, Nederland",,,,info@quangminh.nl,030 241 5171,,new,,,,,,,,{},,,,0
Buurten in de Fabriek,https://kombuurten.nl/buurten-in-de-fabriek/,Horeca,,"Kanaalweg 91, 3533 HH Utrecht, Nederland",,,,fabriek@kombuurten.nl,030 87 78 116,https://www.linkedin.com/company/28834901,new,,,,,,,,{},,,,0
Miyagi & Jones Utrecht,https://www.miyagiandjones.nl/,Horeca,,"Handelskamerstraat 14, 3521 HD Utrecht, Nederland",,,,MANAGER@MIYAGIANDJONES.NL,0303075088,,new,,,,,,,,{},,,,0
Meraki Greek,http://www.merakiutrecht.nl/,Horeca,,"Amsterdamsestraatweg 336, 3551 CV Utrecht, Nederland",,,,info@merakiutrecht.nl,+31 30 888 8088,,new,,,,,,,,{},,,,0
SUVAI Restaurant 🇮🇳,http://www.suvai.nl/,Horeca,,"Van Eysingalaan 388, 3527 VW Utrecht, Nederland",,,,info@suvai.nl,0302765321,,new,,,,,,,,{},,,,0
Pitot,http://www.pitotutrecht.nl/,Horeca,,"Vleutenseweg 95, 3532 HA Utrecht, Nederland",,,,info@pitotutrecht.nl,+31 6 47153809,,new,,,,,,,,{},,,,0
Brassa Restaurant,https://brassa030.nl/,Horeca,,"Van Starkenborghhof 2, 3527 HA Utrecht, Nederland",,,,info@brassa030.nl,0302932223,,new,,,,,,,,{},,,,0
Roemer - wine & food,http://www.roemer-utrecht.nl/,Horeca,,"Berlijnplein 2, 3541 CM Utrecht, Nederland",,,,info@roemer-utrecht.nl,+31 30 320 1229,https://www.linkedin.com/company/roemerutrecht,new,,,,,,,,{},,,,0
Yen Cuisine,https://www.yencuisine.nl/,Horeca,,"Verlengde Houtrakgracht 598, 3544 EA Utrecht, Nederland",,,,info@yencuisine.nl,+31 6 19417215,,new,,,,,,,,{},,,,0
Picobello | ontbijt - lunch - diner,http://www.picobello-utrecht.nl/,Horeca,,"Vleutenseweg 232, 3532 HR Utrecht, Nederland",,,,info@picobello-utrecht.nl,0307439373,,new,,,,,,,,{},,,,0
Peuzel,http://peuzel.nl/,Horeca,,"Nijverheidskade 15, 3534 AZ Utrecht, Nederland",,,,info@peuzel.nl,+31 6 42632977,,new,,,,,,,,{},,,,0
Stadsbrouwerij RoodNoot,http://www.stadsbrouwerijroodnoot.nl/,Horeca,,"Oude Vleutenseweg 35, 3541 BE Utrecht, Nederland",,,,info@stadsbrouwerijroodnoot.nl,+31 30 785 9772,,new,,,,,,,,{},,,,0
Grieks Specialiteiten Restaurant Oniro,https://restaurantoniro.nl/,Horeca,,"Zuiderburcht 6, 3452 MR Utrecht, Nederland",,,,info@restaurantoniro.nl,0031308685005,,new,,,,,,,,{},,,,0
EV ZIN Delicatessen,http://www.evzin.nl/,Horeca,,"Zandweg 131, 3454 HA Utrecht, Nederland",,,,info@evzin.nl,+31 6 27861333,,new,,,,,,,,{},,,,0
Djahe,http://www.djahe.nl/,Horeca,,"Parijsboulevard 142, 3541 CX Utrecht, Nederland",,,,info@djahe.nl,,,new,,,,,,,,{},,,,0
Kávos Winebar-Restaurant,https://winebarkavos.com/,Horeca,,"Brusselplein 5, 3541 CH Utrecht, Nederland",,,,info@winebarkavos.com,0031303074007,,new,,,,,,,,{},,,,0
Restaurant AMA,http://www.restaurantama.nl/,Horeca,,"Burchtplein 19, 3452 MJ Utrecht, Nederland",,,,info@restaurantama.nl,+31 30 785 5567,,new,,,,,,,,{},,,,0
The Madras Diaries - Utrecht,https://themadrasdiaries.nl/utrecht/,Horeca,,"Brusselplein 11, 3541 CH Utrecht, Nederland",,,,info@themadrasdiaries.nl,+31682815224,https://in.linkedin.com/company/the-madras-diaries-amsterdam,new,,,,,,,,{},,,,0
Buiten bij de sluis,https://www.buitenbijdesluis.nl/,Horeca,,"Oude Vleutenseweg 2, 3541 BE Utrecht, Nederland",,,,info@buitenbijdesluis.nl,+31 30 303 6467,,new,,,,,,,,{},,,,0
Eetcafé De Baron,http://www.eetcafedebaron.nl/,Horeca,,"Brusselplein 185, 3541 CH Utrecht, Nederland",,,,info@eetcafedebaron.nl,0307851621,,new,,,,,,,,{},,,,0
Restaurant Gys Utrecht,https://gysutrecht.nl/locaties/amsterdamsestraatweg,Horeca,,"Amsterdamsestraatweg 113, 3513 CV Utrecht, Nederland",,,,sollicitatie@gysutrecht.nl,+31 30 633 8457,https://www.linkedin.com/company/gys-utrecht-bv,new,,,,,,,,{},,,,0
BASECAMP,http://www.basecamputrecht.nl/,Horeca,,"Nijverheidsweg 16A, 3534 AM Utrecht, Nederland",,,,info@basecamputrecht.nl,0886480202,https://www.linkedin.com/company/19216885,new,,,,,,,,{},,,,0
Boerderijcafé Eilandsteede | Utrecht Natuurlijk,https://www.utrechtnatuurlijk.nl/locaties/eilandsteede/,Horeca,,"Vreugdenhillaan 31, 3526 ZB Utrecht, Nederland",,,,eilandsteede@utrechtnatuurlijk.nl,0307533800,https://www.linkedin.com/company/utrecht-natuurlijk,new,,,,,,,,{},,,,0
MÌO UTRECHT,https://mioutrecht.com/,Horeca,,"Ella Fitzgeraldplein 10, 3543 EP Utrecht, Nederland",,,,events@mioutrecht.com,+31302021663,,new,,,,,,,,{},,,,0
Restaurant Café West,https://restaurantwest.nl/,Horeca,,"Vleutenseweg 433, 3532 HJ Utrecht, Nederland",,,,info@restaurantwest.nl,+31 30 299 3377,,new,,,,,,,,{},,,,0
Bagels & Beans,http://www.bagelsbeans.nl/,Horeca,,"Haroekoeplein 35, 3531 WK Utrecht, Nederland",,,,privacy@bagelsbeans.nl,+31 30 737 0703,https://www.linkedin.com/company/bagels-,new,,,,,,,,{},,,,0
Koffie & Ik,http://www.koffieenik.nl/,Horeca,,"Vleutenseweg 169, 3532 HC Utrecht, Nederland",,,,info@koffieenik.nl,+31 6 42126771,,new,,,,,,,,{},,,,0
Landhuis in de Stad,http://www.landhuisindestad.nl/,Horeca,,"Park Oog in Al 1, 3533 HE Utrecht, Nederland",,,,huren@landhuisindestad.nl,+31 30 310 7309,,new,,,,,,,,{},,,,0
Kleine Max,http://www.kleinemax.nl/,Horeca,,"Jan Pieterszoon Coenstraat 69, 3531 EP Utrecht, Nederland",,,,info@kleinemax.nl,+31 6 15961596,,new,,,,,,,,{},,,,0
Restaurant Smoesjes,http://www.smoesjesutrecht.nl/,Horeca,,"Händelstraat 100, 3533 GM Utrecht, Nederland",,,,info@smoesjesutrecht.nl,+31306332944,,new,,,,,,,,{},,,,0
Warmoes,https://www.warmoesutrecht.nl/,Horeca,,"Vlampijpstraat 94, 3534 AR Utrecht, Nederland",,,,info@warmoesutrecht.nl,+31 30 303 6312,,new,,,,,,,,{},,,,0
DUKKAH deli & koffie,https://www.dukkahdeli.nl/,Horeca,,"Vaduzdijk 6, 3541 DM Utrecht, Nederland",,,,info@dukkahdeli.nl,+31 6 35630669,,new,,,,,,,,{},,,,0
